,symbol
0,SPDV
1,EEMD
2,ZIG
3,HDGE
4,DWSH
5,YOLO
6,CWS
7,AADR
8,HYLD
9,MINC
10,ACT
11,FLRT
12,DBLV
13,HOLD
14,FWDB
15,DWMC
16,SCAP
17,VEGA
18,FNG
19,BKCH
20,AFIF
21,GLIF
22,USHG
23,VMOT
24,QMOM
25,IMOM
26,FRDM
27,AMLP
28,SDOG
29,IDOG
30,RIGS
31,SBIO
32,SGDJ
33,SGDM
34,ACES
35,DTEC
36,ENFR
37,EDOG
38,BFOR
39,EQL
40,GRI
41,VALQ
42,KORP
43,SWAN
44,BLOK
45,IBUY
46,DIVO
47,CNBS
48,EASI
49,LEND
50,BATT
51,XBUY
52,DRSK
53,ACIO
54,ARKK
55,ARKW
56,ARKG
57,ARKQ
58,ARKF
59,PRNT
60,IZRL
61,ARCM
62,GYLD
63,DWCR
64,DOGS
65,QVM
66,DWAT
67,AGO_pf
68,SBUG
69,GBUG
70,DJP
71,ATMP
72,OILNF
73,NIB
74,IMLP
75,CAPE
76,GAZZF
77,VQT
78,JJGTF
79,RODI
80,FLEU
81,OLEM
82,XVZ
83,WIL
84,BCM
85,DLBLF
86,GSP
87,LD
88,VEGN
89,BBP
90,BBC
91,IRBO
92,MUA
93,DYNF
94,IBMN
95,ESML
96,FOVL
97,LQDI
98,EWJV
99,EWJE
100,ISHVF
101,ISVQF
102,ISZXF
103,IVSRF
104,IEMXF
105,ISHYF
106,FNGU
107,FNGD
108,FNGZ
109,GNAF
110,FNGO
111,BNKU
112,BNKD
113,BNKO
114,BNKZ
115,KNAB
116,NRGU
117,NRGD
118,NRGO
119,NRGZ
120,YGRN
121,TMFC
122,BDRY
123,TAIL
124,GVAL
125,GMOM
126,EYLD
127,GAA
128,SYLD
129,CCOR
130,TOKE
131,VAMO
132,FYLD
133,SOVB
134,ERSX
135,MLPC
136,DIVC
137,MLPE
138,ECON
139,XCEM
140,INCO
141,ESGS
142,ESGN
143,ESGW
144,MUST
145,DIAL
146,CIZ
147,CSF
148,CFA
149,CSB
150,CDL
151,CDC
152,CFO
153,CID
154,CSA
155,CIL
156,REML
157,AMJL
158,GLDI
159,SLVO
160,FLGE
161,FIEU
162,MLTI
163,MLPO
164,AFTY
165,CNHX
166,XLUY
167,XLSY
168,XLEY
169,XLTY
170,DFNL
171,DWLD
172,DINT
173,USSG
174,FIVG
175,DMRL
176,DMRI
177,DMRM
178,DMRE
179,DMRS
180,SNPE
181,ACSG
182,DZZ
183,FIEG
184,ADZCF
185,ASHR
186,DBEF
187,DBJP
188,DBEU
189,HYLB
190,HDEF
191,HAUZ
192,RVNU
193,DBEM
194,DEUS
195,IGIH
196,ASHS
197,DBAW
198,HDAW
199,DBKO
200,DEEF
201,JPN
202,DBEZ
203,CN
204,EMIH
205,HYIH
206,DBGR
207,IGVT
208,DESC
209,IFIX
210,EURZ
211,ASHX
212,DEMG
213,GUSH
214,NUGT
215,DUST
216,JDST
217,SPXS
218,SOXS
219,JNUG
220,GASL
221,TZA
222,SPXL
223,ERX
224,TNA
225,LABD
226,TECS
227,BRZU
228,YINN
229,LABU
230,TMV
231,TMF
232,DRIP
233,SOXL
234,FAS
235,FAZ
236,CWEB
237,ERY
238,CHAU
239,YANG
240,KORU
241,TECL
242,RUSS
243,EDC
244,QQQE
245,GASX
246,EDZ
247,NAIL
248,DRN
249,CURE
250,ZMLP
251,UBOT
252,DRV
253,UTSL
254,RETL
255,DFEN
256,TPOR
257,DPST
258,INDL
259,TYO
260,MIDU
261,RUSL
262,DZK
263,SPUU
264,KNOW
265,LBJ
266,DUSL
267,EURL
268,WDRW
269,CHAD
270,PILL
271,PPLC
272,DPK
273,SPDN
274,TYD
275,MIDZ
276,MEXX
277,JPNL
278,TYBS
279,COM
280,TAWK
281,EUFL
282,SMLL
283,PPSC
284,MUTE
285,SAGG
286,HYDD
287,TYNS
288,EUXL
289,NEED
290,LACK
291,WANT
292,DSTL
293,DBL
294,EVSTC
295,RJI
296,RJA
297,RJN
298,RJZ
299,GRU
300,DOD
301,WMW
302,EEH
303,FUE
304,ENTR
305,ROBO
306,EMQQ
307,HTUS
308,AMZA
309,VGFO
310,AIEQ
311,ETHO
312,ITEQ
313,SGOL
314,SIVR
